ProductKey,ProductId,Product Name,Product SubCategory,Product Category,Product Description,Product Color,Product Model Name,Reorder Point,Standard Cost,Source System Code,Start Date,End Date,Product Status
56,383,Hex Nut 16,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
57,384,Hex Nut 17,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
58,385,Hex Nut 7,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
59,386,Hex Nut 8,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
60,388,Hex Nut 9,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
61,389,Hex Nut 22,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
62,390,Hex Nut 23,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
63,391,Hex Nut 12,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
64,392,Hex Nut 13,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
65,393,Hex Nut 1,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
66,394,Hex Nut 10,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
67,395,Hex Nut 11,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
68,396,Hex Nut 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
69,398,Hex Nut 20,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
70,399,Hex Nut 21,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
71,400,Hex Nut 3,NULL,NULL,NULL,NA,NULL,375,0,1,55:52.0,NULL,Current
72,401,Hex Nut 14,NULL,NULL,NULL,NA,NULL,375,0,1,55:52.0,NULL,Current
73,402,Hex Nut 15,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
74,403,Hex Nut 4,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
75,404,Hex Nut 18,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
76,405,Hex Nut 19,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
77,406,Handlebar Tube,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
78,408,Head Tube,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
79,409,LL Hub,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
80,410,HL Hub,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
81,411,Keyed Washer,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
82,412,External Lock Washer 3,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
83,413,External Lock Washer 4,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
84,414,External Lock Washer 9,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
85,415,External Lock Washer 5,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
86,416,External Lock Washer 7,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
87,418,External Lock Washer 6,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
88,419,External Lock Washer 1,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
89,420,External Lock Washer 8,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
90,421,External Lock Washer 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
91,422,Internal Lock Washer 3,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
92,423,Internal Lock Washer 4,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
93,424,Internal Lock Washer 9,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
94,425,Internal Lock Washer 5,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
95,426,Internal Lock Washer 7,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
96,428,Internal Lock Washer 6,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
97,429,Internal Lock Washer 10,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
98,430,Internal Lock Washer 1,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
99,431,Internal Lock Washer 8,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
100,432,Internal Lock Washer 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
101,433,Thin-Jam Lock Nut 9,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
102,434,Thin-Jam Lock Nut 10,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
103,435,Thin-Jam Lock Nut 1,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
104,436,Thin-Jam Lock Nut 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
105,438,Thin-Jam Lock Nut 15,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
106,439,Thin-Jam Lock Nut 16,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
107,440,Thin-Jam Lock Nut 5,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
108,441,Thin-Jam Lock Nut 6,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
109,442,Thin-Jam Lock Nut 3,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
110,443,Thin-Jam Lock Nut 4,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
111,444,Thin-Jam Lock Nut 13,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
112,445,Thin-Jam Lock Nut 14,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
113,446,Thin-Jam Lock Nut 7,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
114,448,Thin-Jam Lock Nut 8,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
115,449,Thin-Jam Lock Nut 12,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
116,450,Thin-Jam Lock Nut 11,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
117,451,Lock Nut 5,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
118,452,Lock Nut 6,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
119,453,Lock Nut 16,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
120,454,Lock Nut 17,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
121,455,Lock Nut 7,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
122,456,Lock Nut 8,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
123,458,Lock Nut 9,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
124,459,Lock Nut 22,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
125,460,Lock Nut 23,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
126,461,Lock Nut 12,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
127,462,Lock Nut 13,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
128,463,Lock Nut 1,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
129,464,Lock Nut 10,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
130,465,Lock Nut 11,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
131,466,Lock Nut 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
132,468,Lock Nut 20,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
133,469,Lock Nut 21,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
134,470,Lock Nut 3,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
135,471,Lock Nut 14,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
136,472,Lock Nut 15,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
137,473,Lock Nut 4,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
138,474,Lock Nut 19,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
139,475,Lock Nut 18,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
140,476,Lock Ring,NULL,NULL,NULL,Silver,NULL,750,0,1,55:52.0,NULL,Current
141,478,Lower Head Race,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
142,479,Lock Washer 4,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
143,480,Lock Washer 5,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
144,481,Lock Washer 10,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
145,482,Lock Washer 6,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
146,483,Lock Washer 13,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
147,484,Lock Washer 8,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
148,485,Lock Washer 1,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
149,486,Lock Washer 7,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
150,488,Lock Washer 12,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
151,489,Lock Washer 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
152,490,Lock Washer 9,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
153,491,Lock Washer 3,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
154,492,Lock Washer 11,NULL,NULL,NULL,NA,NULL,45,0,1,55:52.0,NULL,Current
155,493,Metal Angle,NULL,NULL,NULL,NA,NULL,45,0,1,55:52.0,NULL,Current
156,494,Metal Bar 1,NULL,NULL,NULL,NA,NULL,45,0,1,55:52.0,NULL,Current
157,495,Metal Bar 2,NULL,NULL,NULL,NA,NULL,55,0,1,55:52.0,02:07.0,Current
158,496,Metal Plate 2,NULL,NULL,NULL,NA,NULL,45,0,1,55:52.0,NULL,Current
159,504,Metal Plate 1,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
160,505,Metal Plate 3,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
161,506,Metal Sheet 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
162,507,Metal Sheet 3,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
163,508,Metal Sheet 7,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
164,509,Metal Sheet 4,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
165,510,Metal Sheet 5,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
166,511,Metal Sheet 6,NULL,NULL,NULL,NA,NULL,726,0,1,55:52.0,02:07.0,Current
167,512,Metal Sheet 1,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
168,514,Metal Tread Plate,NULL,NULL,NULL,NA,NULL,375,98.77,1,55:52.0,NULL,Current
169,515,LL Nipple,NULL,NULL,NULL,NA,NULL,375,108.99,1,55:52.0,NULL,Current
170,516,HL Nipple,NULL,NULL,NULL,NA,NULL,375,145.87,1,55:52.0,NULL,Current
171,517,Paint - Black,NULL,NULL,NULL,NA,NULL,375,98.77,1,55:52.0,NULL,Current
172,518,Paint - Red,NULL,NULL,NULL,NA,NULL,375,108.99,1,55:52.0,NULL,Current
173,519,Paint - Silver,NULL,NULL,NULL,NA,NULL,375,145.87,1,55:52.0,NULL,Current
174,520,Paint - Blue,NULL,NULL,NULL,NA,NULL,375,98.77,1,55:52.0,NULL,Current
175,521,Paint - Yellow,NULL,NULL,NULL,NA,NULL,454,108.99,1,55:52.0,02:07.0,Current
176,522,Pinch Bolt,NULL,NULL,NULL,NA,NULL,375,145.87,1,55:52.0,NULL,Current
177,524,Cup-Shaped Race,NULL,NULL,NULL,NA,NULL,375,0,1,55:52.0,NULL,Current
178,525,Cone-Shaped Race,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
179,526,Reflector,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
180,527,LL Mountain Rim,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
181,528,ML Mountain Rim,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
182,529,HL Mountain Rim,NULL,NULL,NULL,NA,NULL,375,0,1,55:52.0,NULL,Current
183,530,LL Road Rim,NULL,NULL,NULL,NA,NULL,375,0,1,55:52.0,NULL,Current
184,531,ML Road Rim,NULL,NULL,NULL,NA,NULL,454,0,1,55:52.0,02:07.0,Current
185,532,HL Road Rim,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
186,534,Touring Rim,NULL,NULL,NULL,NA,NULL,375,0,1,55:52.0,NULL,Current
187,535,LL Mountain Seat Assembly,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
188,679,ML Mountain Seat Assembly,NULL,NULL,NULL,NA,NULL,375,0,1,55:52.0,NULL,Current
189,680,HL Mountain Seat Assembly,Road Frames,NULL,NULL,NA,NULL,375,1059.31,1,55:52.0,NULL,Current
190,706,LL Road Seat Assembly,Road Frames,NULL,NULL,NA,NULL,375,1059.31,1,55:52.0,NULL,Current
191,707,ML Road Seat Assembly,Helmets,NULL,NULL,NA,NULL,3,13.0863,1,55:52.0,NULL,Current
192,708,HL Road Seat Assembly,Helmets,NULL,NULL,NA,NULL,3,13.0863,1,55:52.0,NULL,Current
193,709,LL Touring Seat Assembly,Socks,NULL,NULL,NA,NULL,3,3.3963,1,55:52.0,NULL,Current
194,710,ML Touring Seat Assembly,Socks,NULL,NULL,NA,NULL,3,3.3963,1,55:52.0,NULL,Current
195,712,HL Touring Seat Assembly,Caps,NULL,NULL,NA,NULL,3,6.9223,1,55:52.0,NULL,Current
196,713,LL Spindle/Axle,Jerseys,NULL,NULL,NA,NULL,3,38.4923,1,55:52.0,NULL,Current
197,714,HL Spindle/Axle,Jerseys,NULL,NULL,NA,NULL,3,38.4923,1,55:52.0,NULL,Current
198,715,LL Shell,Jerseys,NULL,NULL,NA,NULL,3,38.4923,1,55:52.0,NULL,Current
199,716,HL Shell,Jerseys,NULL,NULL,NA,NULL,3,38.4923,1,55:52.0,NULL,Current
200,717,Spokes,Road Frames,NULL,NULL,NA,NULL,375,868.6342,1,55:52.0,NULL,Current
201,718,Seat Lug,Road Frames,NULL,NULL,NA,NULL,375,868.6342,1,55:52.0,NULL,Current
202,719,Stem,Road Frames,NULL,NULL,NA,NULL,454,868.6342,1,55:52.0,02:07.0,Current
203,720,Seat Post,Road Frames,NULL,NULL,NA,NULL,375,868.6342,1,55:52.0,NULL,Current
204,722,Steerer,Road Frames,NULL,NULL,NA,NULL,375,204.6251,1,55:52.0,NULL,Current
205,723,Seat Stays,Road Frames,NULL,NULL,NA,NULL,375,204.6251,1,55:52.0,NULL,Current
206,724,Seat Tube,Road Frames,NULL,NULL,NA,NULL,375,204.6251,1,55:52.0,NULL,Current
207,725,Top Tube,Road Frames,NULL,NULL,NA,NULL,375,187.1571,1,55:52.0,NULL,Current
208,726,Tension Pulley,Road Frames,NULL,NULL,NA,NULL,375,187.1571,1,55:52.0,NULL,Current
209,727,Rear Derailleur Cage,Road Frames,NULL,NULL,Silver,NULL,375,187.1571,1,55:52.0,NULL,Current
210,728,"HL Road Frame - Black, 58",Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,HL Road Frame,375,187.1571,1,55:52.0,NULL,Current
211,729,"HL Road Frame - Red, 58",Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,HL Road Frame,454,187.1571,1,55:52.0,02:07.0,Current
212,730,"Sport-100 Helmet, Red",Road Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Red,Sport-100,375,187.1571,1,55:52.0,NULL,Outdate
213,732,"Sport-100 Helmet, Red",Road Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Red,Sport-100,375,352.1394,1,55:52.0,NULL,Outdate
214,733,"Sport-100 Helmet, Red",Road Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Red,Sport-100,375,352.1394,1,55:52.0,NULL,Current
215,734,"Sport-100 Helmet, Black",Road Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Black,Sport-100,375,352.1394,1,55:52.0,NULL,Outdate
216,735,"Sport-100 Helmet, Black",Road Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Black,Sport-100,375,352.1394,1,55:52.0,NULL,Outdate
217,736,"Sport-100 Helmet, Black",Road Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Black,Sport-100,375,204.6251,1,55:52.0,NULL,Current
218,737,"Mountain Bike Socks, M",Road Frames,Clothing,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,Mountain Bike Socks,375,204.6251,1,55:52.0,NULL,Outdate
219,738,"Mountain Bike Socks, L",Road Frames,Clothing,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,Mountain Bike Socks,375,204.6251,1,55:52.0,NULL,Outdate
220,739,"Sport-100 Helmet, Blue",Mountain Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,Sport-100,454,747.2002,1,55:52.0,02:07.0,Outdate
221,740,"Sport-100 Helmet, Blue",Mountain Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,Sport-100,375,706.811,1,55:52.0,NULL,Outdate
222,742,"Sport-100 Helmet, Blue",Mountain Frames,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,Sport-100,375,747.2002,1,55:52.0,NULL,Current
223,743,AWC Logo Cap,Mountain Frames,Clothing,Traditional style with a flip-up brim; one-size fits all.,Multi,Cycling Cap,375,739.041,1,55:52.0,NULL,Outdate
224,744,AWC Logo Cap,Mountain Frames,Clothing,Traditional style with a flip-up brim; one-size fits all.,Multi,Cycling Cap,375,699.0928,1,55:52.0,NULL,Outdate
225,745,AWC Logo Cap,Mountain Frames,Clothing,Traditional style with a flip-up brim; one-size fits all.,Multi,Cycling Cap,375,699.0928,1,55:52.0,NULL,Current
226,746,"Long-Sleeve Logo Jersey, S",Mountain Frames,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,375,739.041,1,55:52.0,NULL,Outdate
227,747,"Long-Sleeve Logo Jersey, S",Mountain Frames,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,375,739.041,1,55:52.0,NULL,Outdate
228,748,"Long-Sleeve Logo Jersey, S",Mountain Frames,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,375,747.2002,1,55:52.0,NULL,Current
229,749,"Long-Sleeve Logo Jersey, M",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,91,2171.2942,1,55:52.0,02:07.0,Outdate
230,750,"Long-Sleeve Logo Jersey, M",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,75,2171.2942,1,55:52.0,NULL,Outdate
231,752,"Long-Sleeve Logo Jersey, M",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,75,2171.2942,1,55:52.0,NULL,Current
232,753,"Long-Sleeve Logo Jersey, L",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,75,2171.2942,1,55:52.0,NULL,Outdate
233,754,"Long-Sleeve Logo Jersey, L",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,75,884.7083,1,55:52.0,NULL,Outdate
234,755,"Long-Sleeve Logo Jersey, L",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,75,884.7083,1,55:52.0,NULL,Current
235,756,"Long-Sleeve Logo Jersey, XL",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,75,884.7083,1,55:52.0,NULL,Outdate
236,757,"Long-Sleeve Logo Jersey, XL",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,75,884.7083,1,55:52.0,NULL,Outdate
237,758,"Long-Sleeve Logo Jersey, XL",Road Bikes,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,Long-Sleeve Logo Jersey,75,884.7083,1,55:52.0,NULL,Current
